"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping","Synonym  Common  Name","VBA taxon  I D","Synonym  Name","VIC  Advisory  Status","Authority","Taxon Type","Restricted  Flag","Primary  Discipline","FFG  Act  Status","Version  Date","category","NVIS  Growth  Form"
"Galaxias longifundus","urn:lsid:biodiversity.org.au:afd.taxon:7c3782b3-ada2-42e4-8a2b-3201a779e7f3","Galaxias longifundus","Galaxiidae",,"West Gippsland Galaxias",,"Rintoul Galaxias, Mountain Galaxias","528526","Galaxias sp. 13, Galaxias sp. 9, Galaxias olidus, Galaxias sp. 9 (Rintoul)","Critically endangered","Raadik, 2014","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Gariwerdeus beehivensis","urn:lsid:biodiversity.org.au:afd.taxon:94f13bf7-e51c-4ca8-8917-f13ab02925d8","Gariwerdeus beehivensis","Phreatoicidae",,"freshwater isopod",,,"75163",,"Vulnerable","Wilson & Keable, 2002","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Lissolepis coventryi","urn:lsid:biodiversity.org.au:afd.taxon:0cd5619d-f70c-40d0-826c-698725b9e2f5","Lissolepis coventryi","Scincidae",,"Swamp Skink",,,"12407","Egernia coventryi","Vulnerable",,"Reptiles","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Prasophyllum niphopedium","https://id.biodiversity.org.au/name/apni/175173","Prasophyllum niphopedium","Orchidaceae",,"Marsh Leek-orchid",,"Snowy Plains Leek Orchid, Marsh Leek-orchid","502722","Prasophyllum sp. aff. rogersii, Prasophyllum rogersii, Prasophyllum niphopedium","Endangered","D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Taskiria otwayensis","urn:lsid:biodiversity.org.au:afd.taxon:c21f68b0-b949-42ec-b92d-3029ab652ce1","Taskiria otwayensis","Kokiriidae",,"Caddisfly",,,"3040",,"Vulnerable","Neboiss, 1984","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Riekoperla isosceles","urn:lsid:biodiversity.org.au:afd.taxon:b18fd912-edc3-4052-b9c1-faf0f09e5c59","Riekoperla isosceles","Gripopterygidae",,"Stonefly",,,"2495",,"Critically endangered","Theischinger, 1985","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Riekoperla intermedia","urn:lsid:biodiversity.org.au:afd.taxon:9254de23-54ad-403d-bc8c-5fd37174ef18","Riekoperla intermedia","Gripopterygidae",,"Stonefly",,,"2496",,"Endangered","Theischinger, 1985","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Borya mirabilis","https://id.biodiversity.org.au/node/apni/2900081","Borya mirabilis","Boryaceae",,"Grampians Pincushion-lily",,"Grampians Pincushion-lily, Pincushion Lily","500431","Borya mirabilis, Borya nitida","Endangered","Churchill","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Prasophyllum correctum","https://id.biodiversity.org.au/node/apni/2915707","Prasophyllum correctum","Orchidaceae",,"Gaping Leek-orchid",,"Gaping Leek-orchid, Gaping Leek Orchid, Spreading Leek-orchid","504850","Prasophyllum chasmogamum, Prasophyllum correctum","Endangered","D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Furina diadema","urn:lsid:biodiversity.org.au:afd.taxon:49c7d85d-cce3-4142-9e26-2a25389719d5","Furina diadema","Elapidae",,"Red-naped Snake",,,"12669",,"Vulnerable",,"Reptiles","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Lophochroa leadbeateri","urn:lsid:biodiversity.org.au:afd.taxon:0217f06f-664c-4c64-bc59-1b54650fa23d","Lophochroa leadbeateri","Cacatuidae",,"Major Mitchell's Cockatoo",,"Major Mitchell's Cockatoo (eastern)","10270","Cacatua leadbeateri, Lophochroa leadbeateri, Cacatua leadbeateri leadbeateri","Vulnerable",,"Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
