"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Eremophila calcicola","https://id.biodiversity.org.au/taxon/apni/51294155","Eremophila calcicola","Scrophulariaceae",,,"P2","Priority 2: Poorly-known species"
"Eremophila mirabilis","https://id.biodiversity.org.au/node/apni/2917561","Eremophila mirabilis","Scrophulariaceae",,,"P2","Priority 2: Poorly-known species"
"Pityrodia chrysocalyx","https://id.biodiversity.org.au/node/apni/2918386","Pityrodia chrysocalyx","Lamiaceae",,,"P3","Priority 3: Poorly-known species"
"Grevillea baxteri","https://id.biodiversity.org.au/node/apni/2898909","Grevillea baxteri","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Scaevola macrophylla","https://id.biodiversity.org.au/node/apni/2897201","Scaevola macrophylla","Goodeniaceae",,,"CR","Critically endangered"
"Xanthostemon psidioides","https://id.biodiversity.org.au/node/apni/2905281","Xanthostemon psidioides","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Darwinia sp. Mt Ridley (W.R. Archer 510914) PN","ALA_Darwinia_sp_Mt_Ridley_W_R_Archer_510914_PN","Darwinia sp. Mt Ridley (W.R. Archer 510914) PN",,,,"P1","Priority 1: Poorly-known species"
"Anigozanthos humilis subsp. chrysanthus","https://id.biodiversity.org.au/node/apni/2886092","Anigozanthos humilis subsp. chrysanthus","Haemodoraceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Acacia pterocaulon","https://id.biodiversity.org.au/node/apni/2920139","Acacia pterocaulon","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Atelomastix melindae","urn:lsid:biodiversity.org.au:afd.taxon:ed077d18-bba1-4c4e-9f1b-970a9cded215","Atelomastix melindae","Iulomorphidae",,"a millipede","VU","Vulnerable"
"Calamanthus campestris hartogi","urn:lsid:biodiversity.org.au:afd.taxon:5f91fd49-941f-4b18-9f7e-9ecec180550a","Calamanthus campestris hartogi","Acanthizidae",,"Dirk Hartog Island rufous fieldwren","VU","Vulnerable"
"Eryngium sp. Ferox (G.J. Keighery 16034)","https://id.biodiversity.org.au/node/apni/2899534","Eryngium sp. Ferox (G.J.Keighery 16034)","Apiaceae",,,"P3","Priority 3: Poorly-known species"
"Styphelia sp. Bullfinch (M. Hislop 3574)","https://id.biodiversity.org.au/node/apni/2888997","Styphelia sp. Bullfinch (M.Hislop 3574)","Ericaceae",,,"P3","Priority 3: Poorly-known species"
"Pityrodia augustensis","https://id.biodiversity.org.au/node/apni/2920421","Pityrodia augustensis","Lamiaceae",,,"VU","Vulnerable"
"Acacia asepala","https://id.biodiversity.org.au/node/apni/2919343","Acacia asepala","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Cyperus digitatus","https://id.biodiversity.org.au/node/apni/2906304","Cyperus digitatus","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Scholtzia sp. Prowaka Springs (R.J. Cranfield & P. Spencer 8083)","ALA_Scholtzia_sp_Prowaka_Springs_R_J_Cranfield_P_Spencer_8083","Scholtzia sp. Prowaka Springs (R.J. Cranfield & P. Spencer 8083)",,,,"P1","Priority 1: Poorly-known species"
"Banksia xylothemelia","https://id.biodiversity.org.au/node/apni/2888292","Banksia xylothemelia","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Asteridea gracilis","https://id.biodiversity.org.au/node/apni/2909130","Asteridea gracilis","Asteraceae",,,"P3","Priority 3: Poorly-known species"
"Pleurophascum occidentale","https://id.biodiversity.org.au/node/ausmoss/10104483","Pleurophascum occidentale","Pleurophascaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
