"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Acianthus amplexicaulis","https://id.biodiversity.org.au/name/apni/73150","Acianthus amplexicaulis","Orchidaceae",,"13476","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) Rolfe",
"Morelia viridis","urn:lsid:biodiversity.org.au:afd.taxon:baef28a0-f4f8-4c6f-aead-2228f9b07ee6","Morelia viridis","Pythonidae",,"520","animals","reptiles","Boidae","(Schlegel, 1872)","green python"
"Habenaria anomala","https://id.biodiversity.org.au/name/apni/106025","Habenaria anomala","Orchidaceae",,"39919","plants","Equisetopsida","Orchidaceae",,
"Spathoglottis plicata","https://id.biodiversity.org.au/node/apni/2907389","Spathoglottis plicata","Orchidaceae",,"12667","plants","Equisetopsida","Orchidaceae","Blume","New Guinea ground orchid"
"Pterostylis crassichila","https://id.biodiversity.org.au/name/apni/123185","Pterostylis crassichila","Orchidaceae",,"31907","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Bulbophyllum wolfei","https://id.biodiversity.org.au/name/apni/117529","Bulbophyllum wolfei","Orchidaceae",,"7975","plants","Equisetopsida","Orchidaceae","B.Gray & D.L.Jones",
"Sarcochilus","https://id.biodiversity.org.au/node/apni/2915999","Sarcochilus","Orchidaceae",,"12662","plants","Equisetopsida","Orchidaceae",,
"Nepenthes mirabilis (Bramston Beach)","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"22495","plants","Equisetopsida","Nepenthaceae","(Lour.) Druce",
"Diuris oporina","https://id.biodiversity.org.au/name/apni/117448","Diuris oporina","Orchidaceae",,"7946","plants","Equisetopsida","Orchidaceae","D.L.Jones","northern white donkeys tails"
"Petalura gigantea","urn:lsid:biodiversity.org.au:afd.taxon:e6b984a4-e9ab-4c5b-8706-9d291bbfd76a","Petalura gigantea","Petaluridae",,"35259","animals","insects","Petaluridae","Leach, 1815","south-eastern petaltail"
"Dockrillia racemosa","https://id.biodiversity.org.au/name/apni/169907","Dockrillia racemosa","Orchidaceae",,"5800","plants","Equisetopsida","Orchidaceae","(Nicholls) Rauschert","tableland pencil orchid"
"Cycas badensis","https://id.biodiversity.org.au/node/apni/2909332","Cycas badensis","Cycadaceae",,"5934","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Dockrillia wassellii","https://id.biodiversity.org.au/name/apni/181527","Dockrillia wassellii","Orchidaceae",,"18387","plants","Equisetopsida","Orchidaceae","(S.T.Blake) Brieger",
"Grastidium","https://id.biodiversity.org.au/node/apni/2895970","Grastidium","Orchidaceae",,"20793","plants","Equisetopsida","Orchidaceae",,
"Drosera adelae","https://id.biodiversity.org.au/node/apni/2909650","Drosera adelae","Droseraceae",,"11623","plants","Equisetopsida","Droseraceae","F.Muell.",
"Dipodium variegatum","https://id.biodiversity.org.au/name/apni/79611","Dipodium variegatum","Orchidaceae",,"9275","plants","Equisetopsida","Orchidaceae","M.A.Clem. & D.L.Jones",
"Dipodium ensifolium","https://id.biodiversity.org.au/name/apni/79449","Dipodium ensifolium","Orchidaceae",,"12846","plants","Equisetopsida","Orchidaceae","F.Muell.","leafy hyacinth orchid"
"Dipodium pandanum","https://id.biodiversity.org.au/node/apni/2912903","Dipodium pictum","Orchidaceae",,"5029","plants","Equisetopsida","Orchidaceae","F.M.Bailey",
"Pterostylis cycnocephala","https://id.biodiversity.org.au/node/apni/2903608","Pterostylis ziegeleri","Orchidaceae",,"12702","plants","Equisetopsida","Orchidaceae","Fitzg.","swan greenhood"
"Macrozamia lomandroides","https://id.biodiversity.org.au/node/apni/2889844","Macrozamia lomandroides","Zamiaceae",,"8511","plants","Equisetopsida","Zamiaceae","D.L.Jones",
"Corunastylis sigmoidea","https://id.biodiversity.org.au/name/apni/178836","Corunastylis sigmoidea","Orchidaceae",,"27545","plants","Equisetopsida","Orchidaceae","(D.L.Jones) D.L.Jones & M.A.Clem.",
"Pterostylis boormanii","https://id.biodiversity.org.au/node/apni/2910874","Pterostylis arenicola","Orchidaceae",,"12691","plants","Equisetopsida","Orchidaceae","Rupp",
"Prasophyllum elatum","https://id.biodiversity.org.au/name/apni/87513","Prasophyllum elatum","Orchidaceae",,"16367","plants","Equisetopsida","Orchidaceae","R.Br.","tall leek orchid"
"Rhinolophus philippinensis","urn:lsid:biodiversity.org.au:afd.taxon:2684383f-a79f-453d-9a18-9a4399a2948e","RHINOLOPHIDAE","Rhinolophidae",,"969","animals","mammals","Rhinolophidae","Waterhouse, 1843","greater large-eared horseshoe bat"
"Corymborkis veratrifolia","https://id.biodiversity.org.au/name/apni/81851","Corymborkis veratrifolia","Orchidaceae",,"17607","plants","Equisetopsida","Orchidaceae","Thouars ex Blume","cinnamon orchid"
"Habenaria fuscina","https://id.biodiversity.org.au/name/apni/176872","Habenaria fuscina","Orchidaceae",,"31654","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Calochilus campestris","https://id.biodiversity.org.au/name/apni/98962","Calochilus campestris","Orchidaceae",,"14140","plants","Equisetopsida","Orchidaceae","R.Br.","copper beard orchid"
"Taeniophyllum explanatum","https://id.biodiversity.org.au/taxon/apni/51291023","Taeniophyllum explanatum","Orchidaceae",,"35944","plants","Equisetopsida","Orchidaceae","B.Gray",
"Phlegmariurus creber","https://id.biodiversity.org.au/name/apni/51288371","Phlegmariurus creber","Lycopodiaceae",,"36500","plants","Equisetopsida","Lycopodiaceae","(Alderw.) A.R.Field & Bostock",
"Bowenia serrulata","https://id.biodiversity.org.au/node/apni/2898331","Bowenia serrulata","Zamiaceae",,"17845","plants","Equisetopsida","Zamiaceae","(W.Bull) Chamb.","Byfield fern"
"Didymoglossum exiguum","https://id.biodiversity.org.au/node/apni/7406651","Didymoglossum exiguum","Hymenophyllaceae",,"8513","plants","Equisetopsida","Hymenophyllaceae","(Bedd.) Copel.",
"Orraya occultus","urn:lsid:biodiversity.org.au:afd.taxon:4dffd7cd-f901-4f31-b296-675fd1e91aec","Orraya occultus","Carphodactylidae",,"389","animals","reptiles","Carphodactylidae","(Couper, Covacevich & Moritz, 1993)","McIlwraith leaf-tailed gecko"
"Litoria lorica","urn:lsid:biodiversity.org.au:afd.taxon:8002722e-d0f8-4de2-af61-5cba07d44cd2","Litoria lorica","Hylidae",,"602","animals","amphibians","Hylidae","Davies & McDonald, 1979","little waterfall frog"
"Dendrobium trilamellatum","https://id.biodiversity.org.au/name/apni/86790","Dendrobium trilamellatum","Orchidaceae",,"8177","plants","Equisetopsida","Orchidaceae","J.J.Sm.","yellow antelope orchid"
"Myrmecodia","https://id.biodiversity.org.au/node/apni/2895090","Myrmecodia","Rubiaceae",,"21120","plants","Equisetopsida","Rubiaceae",,
"Caladenia fuscata","https://id.biodiversity.org.au/name/apni/91461","Caladenia fuscata","Orchidaceae",,"8247","plants","Equisetopsida","Orchidaceae","(Rchb.f.) M.A.Clem. & D.L.Jones",
"Livistona nitida","https://id.biodiversity.org.au/taxon/apni/51266901","Livistona nitida","Arecaceae",,"3322","plants","Equisetopsida","Arecaceae","Rodd",
"Amytornis barbatus","urn:lsid:biodiversity.org.au:afd.taxon:08139e95-70c7-499e-9a1b-2e7ad2c37ff1","Amytornis (Maluropsis) barbatus","Maluridae",,"1563","animals","birds","Maluridae","Favaloro & McEvey, 1968","grey grasswren"
"Mixophyes fleayi","urn:lsid:biodiversity.org.au:afd.taxon:289e1b7c-1323-473a-8c2b-a674324c102e","Mixophyes fleayi","Myobatrachidae",,"675","animals","amphibians","Myobatrachidae","Corben & Ingram, 1987","Fleay's barred frog"
"Dendrobium fleckeri","https://id.biodiversity.org.au/name/apni/85516","Dendrobium fleckeri","Orchidaceae",,"12830","plants","Equisetopsida","Orchidaceae","Rupp & C.T.White","apricot orchid"
"Cryptostylis erecta","https://id.biodiversity.org.au/name/apni/88995","Cryptostylis erecta","Orchidaceae",,"13277","plants","Equisetopsida","Orchidaceae","R.Br.","bonnet orchid"
"Diuris lanceolata","https://id.biodiversity.org.au/node/apni/2919208","Diuris lanceolata","Orchidaceae",,"7944","plants","Equisetopsida","Orchidaceae","Lindl.","snake orchid"
"Pterostylis acuminata","https://id.biodiversity.org.au/name/apni/73951","Pterostylis acuminata","Orchidaceae",,"12690","plants","Equisetopsida","Orchidaceae","R.Br.","sharp greenhood"
"Arenga australasica","https://id.biodiversity.org.au/node/apni/2893257","Arenga australasica","Arecaceae",,"12864","plants","Equisetopsida","Arecaceae","(H.Wendl. & Drude) S.T.Blake ex H.E. Moore",
"Appendicula","https://id.biodiversity.org.au/node/apni/2909892","Appendicula","Orchidaceae",,"20195","plants","Equisetopsida","Orchidaceae",,
"Rhadinocentrus ornatus","urn:lsid:biodiversity.org.au:afd.taxon:9ffb5ffb-e00f-4c9f-831c-b3b3ce90b292","Rhadinocentrus ornatus","Melanotaeniidae",,"27032","animals","ray-finned fishes","Melanotaeniidae","(Regan, 1914)","ornate rainbowfish"
"Flickingeria convexa","https://id.biodiversity.org.au/name/apni/87556","Flickingeria convexa","Orchidaceae",,"8550","plants","Equisetopsida","Orchidaceae","(Blume) A.D.Hawkes",
"Bulbophyllum evasum","https://id.biodiversity.org.au/name/apni/69501","Bulbophyllum evasum","Orchidaceae",,"13484","plants","Equisetopsida","Orchidaceae","T.E.Hunt & Rupp",
"Pomatocalpa macphersonii","https://id.biodiversity.org.au/name/apni/113545","Pomatocalpa macphersonii","Orchidaceae",,"12735","plants","Equisetopsida","Orchidaceae","(F.Muell.) T.E.Hunt",
"Dendrobium toressae","https://id.biodiversity.org.au/name/apni/86769","Dendrobium toressae","Orchidaceae",,"12841","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) Dockrill",
"Dipodium stenocheilum","https://id.biodiversity.org.au/name/apni/79602","Dipodium stenocheilum","Orchidaceae",,"12791","plants","Equisetopsida","Orchidaceae","O.Schwarz",
"Lemmaphyllum accedens","https://id.biodiversity.org.au/taxon/apni/51291744","Lemmaphyllum accedens","Polypodiaceae",,"11649","plants","Equisetopsida","Polypodiaceae","(Blume) Donk",
"Dendrobium teretifolium var. album","https://id.biodiversity.org.au/name/apni/86635","Dendrobium teretifolium var. album","Orchidaceae",,"40412","plants","Equisetopsida","Orchidaceae",,
"Grastidium cancroides","https://id.biodiversity.org.au/name/apni/60237","Grastidium cancroides","Orchidaceae",,"19449","plants","Equisetopsida","Orchidaceae","(T.E.Hunt) Rauschert",
"Lyperanthus","https://id.biodiversity.org.au/node/apni/2896841","Lyperanthus","Orchidaceae",,"21019","plants","Equisetopsida","Orchidaceae",,
"Pterostylis woollsii","https://id.biodiversity.org.au/name/apni/76094","Pterostylis woollsii","Orchidaceae",,"8557","plants","Equisetopsida","Orchidaceae","Fitzg.","long-tailed greenhood"
"Corybas montanus","https://id.biodiversity.org.au/node/apni/2893290","Corybas montanus","Orchidaceae",,"9264","plants","Equisetopsida","Orchidaceae","D.L.Jones","small helmet orchid"
"Dockrillia mortii","https://id.biodiversity.org.au/name/apni/181526","Dockrillia mortii","Orchidaceae",,"5798","plants","Equisetopsida","Orchidaceae","(F.Muell.) Rauschert",
"Pomatocalpa marsupiale","https://id.biodiversity.org.au/node/apni/2911462","Pomatocalpa marsupiale","Orchidaceae",,"11376","plants","Equisetopsida","Orchidaceae","(Kraenzl.) J.J.Sm.",
"Dendrobium bigibbum var. albomarginatum","https://id.biodiversity.org.au/node/apni/2889407","x Vappaculum x superbiens","Orchidaceae",,"40376","plants","Equisetopsida","Orchidaceae",,
"Macrozamia douglasii","https://id.biodiversity.org.au/node/apni/2912247","Macrozamia douglasii","Zamiaceae",,"8435","plants","Equisetopsida","Zamiaceae","W.Hill ex F.M.Bailey",
"Cestichis angustilabris","https://id.biodiversity.org.au/name/apni/196161","Cestichis angustilabris","Orchidaceae",,"36398","plants","Equisetopsida","Orchidaceae","(F.Muell.) M.A.Clem. & D.L.Jones",
"Habenaria banfieldii","https://id.biodiversity.org.au/name/apni/106037","Habenaria banfieldii","Orchidaceae",,"39920","plants","Equisetopsida","Orchidaceae",,
"Sarcochilus hartmannii","https://id.biodiversity.org.au/node/apni/2898379","Sarcochilus hartmannii","Orchidaceae",,"12710","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Nervilia plicata","https://id.biodiversity.org.au/name/apni/83204","Nervilia plicata","Orchidaceae",,"12786","plants","Equisetopsida","Orchidaceae","(Andrews) Schltr.",
"Myrmecodia platytyrea subsp. antoinii","https://id.biodiversity.org.au/node/apni/2889509","Myrmecodia platytyrea subsp. antoinii","Rubiaceae",,"16610","plants","Equisetopsida","Rubiaceae","(Becc.) C.R.Huxley & Jebb",
"Corybas",,,,,"12827","plants","Equisetopsida","Orchidaceae",,
"Chiloglottis sylvestris","https://id.biodiversity.org.au/name/apni/64830","Chiloglottis sylvestris","Orchidaceae",,"9260","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Eulophia","https://id.biodiversity.org.au/node/apni/2895690","Eulophia","Orchidaceae",,"20704","plants","Equisetopsida","Orchidaceae",,
"Amphineuron immersum","https://id.biodiversity.org.au/node/apni/2901592","Amphineuron immersum","Thelypteridaceae",,"11740","plants","Equisetopsida","Thelypteridaceae","(Blume) Holttum",
"Bulbophyllum lilianae","https://id.biodiversity.org.au/name/apni/123199","Bulbophyllum lilianae","Orchidaceae",,"13487","plants","Equisetopsida","Orchidaceae","Rendle",
"Magmellia luteilateralis","ALA_Magmellia_luteilateralis","Magmellia luteilateralis","Scincidae",,"187","animals","reptiles","Scincidae","(Covacevich & McDonald, 1980)","orange-speckled forest-skink"
"Acianthus pusillus","https://id.biodiversity.org.au/name/apni/117332","Acianthus pusillus","Orchidaceae",,"7931","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Thunia alba var. marshelliana","ALA_Thunia_alba_var_marshelliana","Thunia alba var. marshelliana",,,"39044","plants","Equisetopsida","Orchidaceae",,
"Thelymitra ixioides var. ixioides","https://id.biodiversity.org.au/name/apni/115611","Thelymitra ixioides var. ixioides","Orchidaceae",,"14155","plants","Equisetopsida","Orchidaceae","Sw.",
"Dendrobium kingianum","https://id.biodiversity.org.au/taxon/apni/51316787","Dendrobium kingianum","Orchidaceae",,"22382","plants","Equisetopsida","Orchidaceae","Bidwill ex Lindl.",
"Pterostylis scoliosa","https://id.biodiversity.org.au/name/apni/178871","Pterostylis scoliosa","Orchidaceae",,"18888","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Prasophyllum australe","https://id.biodiversity.org.au/name/apni/87026","Prasophyllum australe","Orchidaceae",,"14287","plants","Equisetopsida","Orchidaceae","R.Br.","austral leek orchid"
"Nervilia peltata","https://id.biodiversity.org.au/name/apni/123166","Nervilia peltata","Orchidaceae",,"6517","plants","Equisetopsida","Orchidaceae","B.Gray & D.L.Jones",
"Pterostylis chaetophora","https://id.biodiversity.org.au/name/apni/74270","Pterostylis chaetophora","Orchidaceae",,"6221","plants","Equisetopsida","Orchidaceae","M.A.Clem. & D.L.Jones",
"Arthrochilus irritabilis","https://id.biodiversity.org.au/name/apni/102183","Arthrochilus irritabilis","Orchidaceae",,"15816","plants","Equisetopsida","Orchidaceae","F.Muell.","leafy elbow orchid"
"Spathoglottis soutteriana","https://id.biodiversity.org.au/name/apni/83263","Spathoglottis soutteriana","Orchidaceae",,"39911","plants","Equisetopsida","Orchidaceae",,
"Acianthus caudatus","https://id.biodiversity.org.au/name/apni/73167","Acianthus caudatus","Orchidaceae",,"13477","plants","Equisetopsida","Orchidaceae","R.Br.","mayfly orchid"
"Pterostylis aquilonia","https://id.biodiversity.org.au/name/apni/178870","Pterostylis aquilonia","Orchidaceae",,"18887","plants","Equisetopsida","Orchidaceae","D.L.Jones & B.Gray",
"Hymenophyllum eboracense","https://id.biodiversity.org.au/node/apni/2913294","Hymenophyllum eboracense","Hymenophyllaceae",,"13884","plants","Equisetopsida","Hymenophyllaceae","Croxall",
"Acianthus exsertus","https://id.biodiversity.org.au/name/apni/73183","Acianthus exsertus","Orchidaceae",,"14086","plants","Equisetopsida","Orchidaceae","R.Br.",
"Hydriastele costata","https://id.biodiversity.org.au/node/apni/2887019","Hydriastele costata","Arecaceae",,"29580","plants","Equisetopsida","Arecaceae","F.M.Bailey",
"Dendrobium 'Bunts Bali' x Dendrobium x lavarackianum","ALA_Dendrobium_Bunts_Bali_x_Dendrobium_x_lavarackianum","Dendrobium 'Bunts Bali' x Dendrobium x lavarackianum",,,"40864","plants","Equisetopsida","Orchidaceae",,
"Phalaenopsis",,,,,"21268","plants","Equisetopsida","Orchidaceae",,
"Calochilus psednus","https://id.biodiversity.org.au/node/apni/2895033","Calochilus psednus","Orchidaceae",,"8548","plants","Equisetopsida","Orchidaceae","D.L.Jones & Lavarack",
"Chiloglottis sp. (Mango Flat D.L.Jones 2547)","ALA_Chiloglottis_sp_Mango_Flat_D_L_Jones_2547","Chiloglottis sp. (Mango Flat D.L.Jones 2547)","Orchidaceae",,"6156","plants","Equisetopsida","Orchidaceae",,
"Micropera fasciculata","https://id.biodiversity.org.au/name/apni/73204","Micropera fasciculata","Orchidaceae",,"13287","plants","Equisetopsida","Orchidaceae","(Lindl.) Garay",
"Livistona drudei","https://id.biodiversity.org.au/node/apni/2900687","Livistona drudei","Arecaceae",,"12780","plants","Equisetopsida","Arecaceae","F.Muell.","Halifax fan palm"
"Macrozamia lomandroides - Macrozamia pauli-guilielmi","ALA_Macrozamia_lomandroides_Macrozamia_pauli_guilielmi","Macrozamia lomandroides - Macrozamia pauli-guilielmi",,,"29176","plants","Equisetopsida","Zamiaceae",,
"Caladenia picta","https://id.biodiversity.org.au/name/apni/92207","Caladenia picta","Orchidaceae",,"9297","plants","Equisetopsida","Orchidaceae","(Nicholls) M.A.Clem. & D.L.Jones",
"Corunastylis tecta","https://id.biodiversity.org.au/node/apni/2908787","Genoplesium tectum","Orchidaceae",,"27546","plants","Equisetopsida","Orchidaceae","(D.L.Jones) D.L.Jones & M.A.Clem.","Cardwell midge orchid"
"Diuris parvipetala","https://id.biodiversity.org.au/name/apni/95949","Diuris parvipetala","Orchidaceae",,"10526","plants","Equisetopsida","Orchidaceae","(Dockrill) D.L.Jones & M.A.Clem.",
"Cophixalus mcdonaldi","urn:lsid:biodiversity.org.au:afd.taxon:24b1b668-bb91-42ef-a906-2f215ef591bd","Cophixalus mcdonaldi","Microhylidae",,"709","animals","amphibians","Microhylidae","Zweifel, 1985","Mount Elliot nurseryfrog"
"Myrmecodia platytyrea","https://id.biodiversity.org.au/node/apni/2887782","Myrmecodia platytyrea","Rubiaceae",,"19935","plants","Equisetopsida","Rubiaceae","Becc.",
"Eria australiensis","https://id.biodiversity.org.au/name/apni/182001","Eria australiensis","Orchidaceae",,"39923","plants","Equisetopsida","Orchidaceae",,
"Geodorum","https://id.biodiversity.org.au/node/apni/2905536","Geodorum","Orchidaceae",,"20762","plants","Equisetopsida","Orchidaceae",,
"Lerista allanae","urn:lsid:biodiversity.org.au:afd.taxon:906e5ef8-64f7-460f-b3b0-3518ae3390f3","Lerista allanae","Scincidae",,"161","animals","reptiles","Scincidae","(Longman, 1937)","Allan's lerista"
"Dockrillia dolichophylla","https://id.biodiversity.org.au/name/apni/147283","Dockrillia dolichophylla","Orchidaceae",,"5805","plants","Equisetopsida","Orchidaceae","(D.L.Jones & M.A.Clem.) M.A.Clem. & D.L.Jones",
"Taeniophyllum","https://id.biodiversity.org.au/taxon/apni/51291021","Taeniophyllum","Orchidaceae",,"12671","plants","Equisetopsida","Orchidaceae",,
"Cyrtostylis reniformis","https://id.biodiversity.org.au/name/apni/100190","Cyrtostylis reniformis","Orchidaceae",,"8227","plants","Equisetopsida","Orchidaceae","R.Br.",
"Huperzia","https://id.biodiversity.org.au/node/apni/2915577","Huperzia","Lycopodiaceae",,"8163","plants","Equisetopsida","Lycopodiaceae",,
"Drymoanthus minutus","https://id.biodiversity.org.au/name/apni/100787","Drymoanthus minutus","Orchidaceae",,"7947","plants","Equisetopsida","Orchidaceae","Nicholls",
"Scaturiginichthys vermeilipinnis","urn:lsid:biodiversity.org.au:afd.taxon:df4e5f69-d850-4d5b-8182-b525024c2902","Scaturiginichthys vermeilipinnis","Pseudomugilidae",,"18165","animals","ray-finned fishes","Pseudomugilidae","Ivantsoff, Unmack, Saeed & Crowley, 1991","redfin blue eye"
"Zeuxine","https://id.biodiversity.org.au/node/apni/2906330","Zeuxine","Orchidaceae",,"21765","plants","Equisetopsida","Orchidaceae",,
"Cymbidium madidum","https://id.biodiversity.org.au/name/apni/93389","Cymbidium madidum","Orchidaceae",,"13963","plants","Equisetopsida","Orchidaceae","Lindl.",
"Nervilia crociformis","https://id.biodiversity.org.au/name/apni/83090","Nervilia crociformis","Orchidaceae",,"8552","plants","Equisetopsida","Orchidaceae","(Zoll. & Moritzi) Seidenf.",
"Sarcochilus bancroftii","https://id.biodiversity.org.au/name/apni/62707","Sarcochilus bancroftii","Orchidaceae",,"39908","plants","Equisetopsida","Orchidaceae",,
"Caladenia carnea var. carnea","https://id.biodiversity.org.au/node/apni/2894779","Caladenia carnea","Orchidaceae",,"14757","plants","Equisetopsida","Orchidaceae","R.Br.",
"Plesioneuron tuberculatum","https://id.biodiversity.org.au/node/apni/2887072","Plesioneuron tuberculatum","Thelypteridaceae",,"11646","plants","Equisetopsida","Thelypteridaceae","(Ces.) Holttum",
"Dendrobium kingianum var. pallidum","https://id.biodiversity.org.au/taxon/apni/51316787","Dendrobium kingianum","Orchidaceae",,"40319","plants","Equisetopsida","Orchidaceae",,
"Thelymitra x truncata","https://id.biodiversity.org.au/name/apni/160645","Thelymitra x truncata","Orchidaceae",,"28167","plants","Equisetopsida","Orchidaceae","R.S.Rogers",
"Vanda whiteana","https://id.biodiversity.org.au/node/apni/2889494","Vanda hindsii","Orchidaceae",,"40770","plants","Equisetopsida","Orchidaceae",,
"Nepenthes rowanae","https://id.biodiversity.org.au/node/apni/2914235","Nepenthes rowaniae","Nepenthaceae",,"40144","plants","Equisetopsida","Nepenthaceae",,
"Dendrobium discolor","https://id.biodiversity.org.au/name/apni/85416","Dendrobium discolor","Orchidaceae",,"12828","plants","Equisetopsida","Orchidaceae","Lindl.",
"Pseudomugil mellis","urn:lsid:biodiversity.org.au:afd.taxon:1243bf40-dbce-477f-8a63-5e81c4ba38ef","Pseudomugil mellis","Pseudomugilidae",,"18166","animals","ray-finned fishes","Pseudomugilidae","Allen & Ivantsoff, 1982","honey blue eye"
"Dockrillia x foederata","https://id.biodiversity.org.au/name/apni/181528","Dockrillia x foederata","Orchidaceae",,"5763","plants","Equisetopsida","Orchidaceae","(St.Cloud) Rauschert",
"Calanthe veratrifolia var. kennyi","https://id.biodiversity.org.au/name/apni/94372","Calanthe veratrifolia var. kennyi","Orchidaceae",,"40260","plants","Equisetopsida","Orchidaceae",,
"Taeniophyllum cymbiforme","https://id.biodiversity.org.au/name/apni/65983","Taeniophyllum cymbiforme","Orchidaceae",,"39912","plants","Equisetopsida","Orchidaceae",,
"Taudactylus eungellensis","urn:lsid:biodiversity.org.au:afd.taxon:134081e8-0768-441a-bf41-722c82406791","Taudactylus eungellensis","Myobatrachidae",,"653","animals","amphibians","Myobatrachidae","Liem & Hosmer, 1973","Eungella dayfrog"
"Macrozamia crassifolia","https://id.biodiversity.org.au/node/apni/2886099","Macrozamia crassifolia","Zamiaceae",,"6479","plants","Equisetopsida","Zamiaceae","P.I.Forst. & D.L.Jones",
"Chiloglottis formicifera","https://id.biodiversity.org.au/name/apni/64788","Chiloglottis formicifera","Orchidaceae",,"13324","plants","Equisetopsida","Orchidaceae","Fitzg.","ant orchid"
"Dendrobium fellowsii","https://id.biodiversity.org.au/name/apni/85492","Dendrobium fellowsii","Orchidaceae",,"10523","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Bromheadia","https://id.biodiversity.org.au/node/apni/2894867","Bromheadia","Orchidaceae",,"20317","plants","Equisetopsida","Orchidaceae",,
"Corybas fordhamii","https://id.biodiversity.org.au/name/apni/81710","Corybas fordhamii","Orchidaceae",,"13275","plants","Equisetopsida","Orchidaceae","(Rupp) Rupp","banded helmet orchid"
"Oberonia flavescens","https://id.biodiversity.org.au/name/apni/205301","Oberonia flavescens","Orchidaceae",,"35334","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Thelymitra malvina","https://id.biodiversity.org.au/name/apni/115870","Thelymitra malvina","Orchidaceae",,"7917","plants","Equisetopsida","Orchidaceae","M.A.Clem., D.L.Jones & Molloy",
"Pinalia kingii","https://id.biodiversity.org.au/name/apni/198022","Pinalia kingii","Orchidaceae",,"36405","plants","Equisetopsida","Orchidaceae","(F.Muell.) Kuntze",
"Dryopteris wattsii","https://id.biodiversity.org.au/node/apni/9032446","Dryopteris wattsii","Dryopteridaceae",,"34742","plants","Equisetopsida","Dryopteridaceae","M.McKeown, Sundue & Barrington",
"Sarcochilus newportii","https://id.biodiversity.org.au/name/apni/63265","Sarcochilus newportii","Orchidaceae",,"39909","plants","Equisetopsida","Orchidaceae",,
"Peristylus","https://id.biodiversity.org.au/node/apni/2891262","Peristylus","Orchidaceae",,"21253","plants","Equisetopsida","Orchidaceae",,
"Pterostylis nigricans","https://id.biodiversity.org.au/name/apni/75047","Pterostylis nigricans","Orchidaceae",,"9232","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Calochilus paludosus","https://id.biodiversity.org.au/name/apni/99067","Calochilus paludosus","Orchidaceae",,"13288","plants","Equisetopsida","Orchidaceae","R.Br.","red beard orchid"
"Bryobium eriaeoides","https://id.biodiversity.org.au/name/apni/176951","Bryobium eriaeoides","Orchidaceae",,"35688","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) M.A.Clem. & D.L.Jones",
"Dendrobium phalaenopsis var. compactum","https://id.biodiversity.org.au/node/apni/2904190","Vappodes lithocola","Orchidaceae",,"40365","plants","Equisetopsida","Orchidaceae",,
"Lindsaea terrae-reginae","https://id.biodiversity.org.au/node/apni/2889804","Lindsaea terraereginae","Lindsaeaceae",,"12058","plants","Equisetopsida","Lindsaeaceae","K.U.Kramer",
"Euastacus jagara","urn:lsid:biodiversity.org.au:afd.taxon:8c494db9-e87e-4c49-bb26-5f61d072c018","Euastacus jagara","Parastacidae",,"33594","animals","malacostracans","Parastacidae","Morgan, 1988",
"Cycas silvestris","https://id.biodiversity.org.au/node/apni/2896080","Cycas silvestris","Cycadaceae",,"8384","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Corymborkis","https://id.biodiversity.org.au/node/apni/2910857","Corymborkis","Orchidaceae",,"20500","plants","Equisetopsida","Orchidaceae",,
"Eriochilus","https://id.biodiversity.org.au/taxon/apni/51290580","Eriochilus","Orchidaceae",,"12802","plants","Equisetopsida","Orchidaceae",,
"Calochilus","https://id.biodiversity.org.au/node/apni/2895744","Calochilus","Orchidaceae",,"9344","plants","Equisetopsida","Orchidaceae",,
"Peristylus banfieldii","https://id.biodiversity.org.au/name/apni/92650","Peristylus banfieldii","Orchidaceae",,"10469","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) Lavarack",
"Pterostylis hildae","https://id.biodiversity.org.au/name/apni/74821","Pterostylis hildae","Orchidaceae",,"12703","plants","Equisetopsida","Orchidaceae","Nicholls","rainforest greenhood"
"Dendrobium x delicatum","https://id.biodiversity.org.au/taxon/apni/51305036","Dendrobium x delicatum","Orchidaceae",,"13976","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) F.M.Bailey",
"Phlegmariurus delbrueckii","https://id.biodiversity.org.au/name/apni/51288377","Phlegmariurus delbrueckii","Lycopodiaceae",,"36497","plants","Equisetopsida","Lycopodiaceae","(Herter) A.R.Field & Bostock",
