"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Diuris abbreviata","https://id.biodiversity.org.au/name/apni/78690","Diuris abbreviata","Orchidaceae",,"12793","plants","Equisetopsida","Orchidaceae","F.Muell. ex Benth.","lemon doubletail"
"Litoria kroombitensis","urn:lsid:biodiversity.org.au:afd.taxon:510535b0-4d34-465f-bbdc-02b276621e66","Litoria kroombitensis","Hylidae",,"18279","animals","amphibians","Hylidae","Hoskin, Hines, Meyer, Clarke & Cunningham, 2013","Kroombit treefrog"
"Macrozamia conferta","https://id.biodiversity.org.au/node/apni/2891883","Macrozamia conferta","Zamiaceae",,"6525","plants","Equisetopsida","Zamiaceae","D.L.Jones & P.I.Forst.",
"Thelymitra fragrans","https://id.biodiversity.org.au/name/apni/115286","Thelymitra fragrans","Orchidaceae",,"9199","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Microtis","https://id.biodiversity.org.au/name/apni/74195","Microtis unifolia","Orchidaceae",,"14404","plants","Equisetopsida","Orchidaceae",,
"Cycas xipholepis","https://id.biodiversity.org.au/node/apni/2911543","Cycas xipholepis","Cycadaceae",,"5781","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Cophixalus kulakula","urn:lsid:biodiversity.org.au:afd.taxon:09e0fa40-8e7b-447d-89be-3e6aba2ed039","Cophixalus kulakula","Microhylidae",,"34088","animals","amphibians","Microhylidae","Hoskin & Aland, 2011","Kutini boulder-frog"
"Bulbophyllum aurantiacum var. wattsii","https://id.biodiversity.org.au/name/apni/69423","Bulbophyllum aurantiacum var. wattsii","Orchidaceae",,"40385","plants","Equisetopsida","Orchidaceae",,
"Cheirostylis ovata","https://id.biodiversity.org.au/name/apni/62876","Cheirostylis ovata","Orchidaceae",,"13323","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) Schltr.","caterpillar orchid"
"Dendrobium kingianum subsp. carnarvonense","https://id.biodiversity.org.au/taxon/apni/51316785","Dendrobium kingianum subsp. carnarvonense","Orchidaceae",,"6226","plants","Equisetopsida","Orchidaceae","Peter B.Adams",
