"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Lepidium matau Petrie","NZOR-6-42151","Lepidium solandri","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Ranunculus brevis Garn.-Jones","NZOR-6-132464","Ranunculus brevis","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Banksia pilosa G.Forst.","NZOR-6-21866","Pimelea tomentosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Acrostichum barbarum L.","https://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Osmundaceae","Todea","Osmundales","species","Polypodiopsida"
"Pimelea pulvinaris C.J.Burrows","NZOR-6-66708","Pimelea sericeovillosa subsp. pulvinaris","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Olearia crebra E.K.Cameron & Heenan","https://id.biodiversity.org.au/name/apni/181968","Olearia crebra","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Donia punicea G.Don","https://id.biodiversity.org.au/name/apni/173964","Donia punicea","Fabaceae",,"Leguminosae","Clianthus","Fabales","species","Magnoliopsida"
"Brathys billardierei Spach","https://id.biodiversity.org.au/name/apni/248191","Brathys billardieri","Hypericaceae",,"Hypericaceae","Hypericum","Malpighiales","species","Magnoliopsida"
"Viscum antarcticum G.Forst.","https://id.biodiversity.org.au/name/apni/234630","Viscum antarcticum","Santalaceae",,"Loranthaceae","Tupeia","Santalales","species","Magnoliopsida"
"Asplenium leptophyllum (L.) Sw.","https://id.biodiversity.org.au/taxon/apni/51299828","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Hydatella inconspicua (Cheeseman) Cheeseman","NZOR-6-107592","Trithuria inconspicua","Hydatellaceae",,"Hydatellaceae","Trithuria","Nymphaeales","species","Magnoliopsida"
"Brachyscome sinclairii var. pinnata (Hook.f.) Allan","NZOR-6-14098","Brachyscome pinnata","Asteraceae",,"Compositae","Brachyscome","Asterales","variety","Magnoliopsida"
"Carmichaelia corrugata Colenso","NZOR-6-28479","Carmichaelia corrugata","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Erechtites scaberula var. chathamica Allan","NZOR-6-103686","Senecio scaberulus","Asteraceae",,"Compositae","Senecio","Asterales","variety","Magnoliopsida"
"Epilobium hirtigerum A.Cunn.","https://id.biodiversity.org.au/node/apni/2910254","Epilobium hirtigerum","Onagraceae",,"Onagraceae","Epilobium","Myrtales","species","Magnoliopsida"
