"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Chiloglottis platyptera D. L. Jones ","https://id.biodiversity.org.au/name/apni/117392","Chiloglottis platyptera","Orchidaceae",,"Barrington Tops Ant Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Rhizanthella slateri (Rupp) M.A. Clem. and P.J. Cribb ","https://id.biodiversity.org.au/node/apni/2900261","Rhizanthella slateri","Orchidaceae",,"Eastern Australian Underground Orchid","Orchidaceae","E2, V","Endangered Population, Vulnerable",,"Risk of disturbance and collection","2","10km"
"Hypsela sessiliflora F. Wimmer ","https://id.biodiversity.org.au/node/apni/2897543","Isotoma fluviatilis subsp. fluviatilis","Campanulaceae",,,"Lobeliaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Prasophyllum bagoensis D.L. Jones","https://id.biodiversity.org.au/name/apni/242531","Prasophyllum bagoensis","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Oberonia complanata (A. Cunn.) M.A. Clem. & D.L. Jones","https://id.biodiversity.org.au/name/apni/84629","Oberonia complanata","Orchidaceae",,"Yellow-flowered King of the Fairies","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Geodorum densiflorum (Lam.) Schltr. ","https://id.biodiversity.org.au/name/apni/80628","Geodorum densiflorum","Orchidaceae",,"Pink Nodding Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis cobarensis M.A. Clem.","https://id.biodiversity.org.au/node/apni/2907982","Pterostylis cobarensis","Orchidaceae",,"Greenhood Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Cryptostylis hunteriana Nicholls ","https://id.biodiversity.org.au/node/apni/2889169","Cryptostylis hunteriana","Orchidaceae",,"Leafless Tongue Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Grevillea masonii P. Olde & N. Marriott ","https://id.biodiversity.org.au/node/apni/2913810","Grevillea masonii","Proteaceae",,"Mason's Grevillea","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Banksia conferta A.S.George subsp. conferta","https://id.biodiversity.org.au/node/apni/9597877","Banksia conferta","Proteaceae",,,"Proteaceae","E4A","Critically Endangered",,"Risk of disturbance","2","10km"
