"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Neophema splendida ","urn:lsid:biodiversity.org.au:afd.taxon:c7f54244-9c27-4d8b-bf56-cbc672442d34","Neophema (Neophema) splendida","Psittacidae",,"Parrots","B","G00303",,"All known nest hollows and artificial nest boxes at known breeding sites.","y","These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).",
"Viola betonicifolia ssp. betonicifolia","https://id.biodiversity.org.au/node/apni/2918984","Viola betonicifolia subsp. betonicifolia","Violaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z02151","Showy Violet","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Diuris chryseopsis","https://id.biodiversity.org.au/node/apni/2886701","Diuris chryseopsis","Orchidaceae",,"Orchids","P","Y04392","Cowslip Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Podolepis muelleri","https://id.biodiversity.org.au/node/apni/2909322","Podolepis muelleri","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E03282","Button Podolepis","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Scaevola obovata","https://id.biodiversity.org.au/node/apni/2892967","Scaevola obovata","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","C05041",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia dilatata","ALA_Caladenia_dilatata_s_s","Caladenia dilatata s.s.",,,"Orchids","P","Q06260",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia fragrantissima ssp. fragrantissima","https://id.biodiversity.org.au/name/apni/119062","Caladenia fragrantissima subsp. fragrantissima","Orchidaceae",,"Orchids","P","C04365","Scented Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thysanotus tuberosus ssp. parviflorus","ALA_Thysanotus_tuberosus_ssp_parviflorus","Thysanotus tuberosus ssp. parviflorus",,,"Garden Trade -Other Ornamental Horticulture plants","P","U04302","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra matthewsii","https://id.biodiversity.org.au/node/apni/2900535","Thelymitra matthewsii","Orchidaceae",,"Orchids","P","K00869","Spiral Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis sp. Rock ledges (pl. 185, Bates & Weber 1990)","https://id.biodiversity.org.au/name/apni/194722","Pterostylis sp. Rock ledges (pl. 185, Bates & Weber 1990)","Orchidaceae",,"Orchids","P","G04403","Rock-ledge Rufoushood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
