"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Swainsona minutiflora","https://id.biodiversity.org.au/node/apni/2908145","Swainsona minutiflora","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W01795","Small-flower Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia gladiolata","https://id.biodiversity.org.au/node/apni/2913185","Caladenia gladiolata","Orchidaceae",,"Orchids","P","U00774","Bayonet Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Montia fontana ssp. chondrosperma","ALA_Montia_fontana_ssp_chondrosperma","Montia fontana ssp. chondrosperma",,,"Aquatics","P","E01058","Waterblinks","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Doodia caudata","https://id.biodiversity.org.au/taxon/apni/51269361","Blechnum medium","Blechnaceae",,"Ferns & Allies","P","K00057","Small Rasp-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Rhodanthe oppositifolia ssp. oppositifolia","https://id.biodiversity.org.au/node/apni/2912117","Rhodanthe oppositifolia subsp. oppositifolia","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","U03182","Twin-leaf Everlasting","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia parva","https://id.biodiversity.org.au/name/apni/119070","Caladenia parva","Orchidaceae",,"Orchids","P","Z05151","Small Green-comb Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Stypandra glauca","https://id.biodiversity.org.au/node/apni/2892177","Stypandra glauca","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K00701","Nodding Grass-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Diuris behrii","https://id.biodiversity.org.au/node/apni/2919666","Diuris behrii","Orchidaceae",,"Orchids","P","G04391","Behr's Cowslip Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Paracaleana disjuncta","https://id.biodiversity.org.au/name/apni/181376","Paracaleana disjuncta","Orchidaceae",,"Orchids","P","U03950","Black-beak Duck-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calyptorhynchus banksii graptogyne","urn:lsid:biodiversity.org.au:afd.taxon:3d0bdf71-baf3-4c0d-a2d0-c3b95856c980","Calyptorhynchus (Calyptorhynchus) banksii graptogyne","Cacatuidae",,"Cockatoos","B","Y09312","Red-tailed Black-Cockatoo (south east subspecies)","All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Caladenia xantholeuca","https://id.biodiversity.org.au/node/apni/2906511","Caladenia xantholeuca","Orchidaceae",,"Orchids","P","C04841","Flinders Ranges White Caladenia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelionema caespitosum","https://id.biodiversity.org.au/node/apni/2918860","Thelionema caespitosum","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z04839","Tufted Lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis lustra","https://id.biodiversity.org.au/name/apni/203337","Pterostylis lustra","Orchidaceae",,"Orchids","P","S30121","Forked Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Swainsona viridis","https://id.biodiversity.org.au/node/apni/2910487","Swainsona viridis","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A01808","Creeping Darling Pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia valida","https://id.biodiversity.org.au/name/apni/116854","Caladenia valida","Orchidaceae",,"Orchids","P","S04265","Robust Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis ferruginea","https://id.biodiversity.org.au/name/apni/226095","Pterostylis ferruginea","Orchidaceae",,"Orchids","P","W04719","Bangham Rustyhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Genoplesium morrisii","https://id.biodiversity.org.au/name/apni/66166","Genoplesium morrisii","Orchidaceae",,"Orchids","P","K00825","Bearded Midge-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia lowanensis","https://id.biodiversity.org.au/node/apni/2890196","Caladenia lowanensis","Orchidaceae",,"Orchids","P","Y05168","Wimmera Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pandion haliaetus","40077003","Pandion haliaetus","Accipitridae",,,,"K00241","Osprey","nesting related records & breeding territories",,"nesting related records & breeding territories at risk",
"Pterostylis cucullata ssp.","ALA_Pterostylis_cucullata_ssp","Pterostylis cucullata ssp.",,,"Orchids","P","M32046","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis cucullata subsp. sylvicola","https://id.biodiversity.org.au/node/apni/2917776","Pterostylis cucullata subsp. sylvicola","Orchidaceae",,"Orchids","P","G30119","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis cucullata subsp. cucullata","https://id.biodiversity.org.au/node/apni/2912254","Pterostylis cucullata subsp. cucullata","Orchidaceae",,"Orchids","P","E30118","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis cucullata","https://id.biodiversity.org.au/node/apni/2919373","Pterostylis cucullata","Orchidaceae",,"Orchids","P","M32046","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Rhodanthe oppositifolia","https://id.biodiversity.org.au/node/apni/2886377","Rhodanthe oppositifolia","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W20259",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Calyptorhynchus banksii","urn:lsid:biodiversity.org.au:afd.taxon:e9cc6e53-1f30-469a-b563-1b525bb9c41b","Calyptorhynchus (Calyptorhynchus) banksii","Cacatuidae",,"Cockatoos","B","A00264","Red-tailed Black Cockatoo","nesting records only",,,
"Wurmbea dioica subsp. lacunaria","https://id.biodiversity.org.au/node/apni/2902098","Wurmbea dioica subsp. lacunaria","Colchicaceae",,"Aquatics","P","G05475","Lagoon Nancy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Calyptorhynchus (Zanda) funereus whiteae","urn:lsid:biodiversity.org.au:afd.taxon:2fb6bd24-4743-4907-a43d-39ac5f31c669","Calyptorhynchus (Zanda) funereus whiteae","Cacatuidae",,"Cockatoos","B","G00267","Yellow-tailed Black Cockatoo","All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Calyptorhynchus lathami","urn:lsid:biodiversity.org.au:afd.taxon:db6c2bba-e721-407d-bb54-7e5b0ade3376","Calyptorhynchus (Calyptorhynchus) lathami","Cacatuidae",,"Cockatoos","B","Z04483","Glossy Black-Cockatoo",,"y",,
"Calyptorhynchus","urn:lsid:biodiversity.org.au:afd.taxon:f6083f28-3312-4af0-b9f9-59113e12f251","Calyptorhynchus","Cacatuidae",,"Cockatoos","B","Y10416",,"All known nest hollows and artificial nest boxes.","y","Some records for this genus are associated with a sensitive subspecies. -  These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Calyptorhynchus (Zanda)","urn:lsid:biodiversity.org.au:afd.taxon:4482e533-79d3-44fd-a474-2320f0297086","Calyptorhynchus (Zanda)","Cacatuidae",,"Cockatoos","B",,,"All known nest hollows and artificial nest boxes.","y","Some records for this genus are associated with a sensitive subspecies.",
"Pterostylis psammophila","https://id.biodiversity.org.au/name/apni/216109","Pterostylis psammophila","Orchidaceae",,"Orchids","P","C32069","Two-bristle Greenhood",,"y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thysanotus tuberosus","https://id.biodiversity.org.au/node/apni/2899492","Thysanotus tuberosus","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","S20193","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thysanotus tuberosus subsp. parviflorus","https://id.biodiversity.org.au/node/apni/2899159","Thysanotus tuberosus subsp. parviflorus","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","U04302","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thysanotus tuberosus subsp. tuberosus","https://id.biodiversity.org.au/node/apni/2889586","Thysanotus tuberosus subsp. tuberosus","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q04716","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Amytornis striatus","urn:lsid:biodiversity.org.au:afd.taxon:81a59e1d-8018-4c19-a3e7-1e9bb5df006d","Amytornis (Magnamytis) striatus","Maluridae",,,"B","C00513","Striated Grasswren",,"y",,
"Pachycephala rufogularis","urn:lsid:biodiversity.org.au:afd.taxon:e350debe-67b2-488d-9413-37ceb1f95ae4","Pachycephala (Timixos) rufogularis","Pachycephalidae",,,"B","M00402","Red-lored Whistler",,"y",,
"Thinornis cucullatus","urn:lsid:biodiversity.org.au:afd.taxon:403f8a8f-ad61-4448-97da-719d1498b582","Thinornis cucullatus","Charadriidae",,,"B","M00138","Hooded Plover (Hooded Dotterel)",,,"Reduce the risk of locations being targetted by those wishing to access the nesting areas.",
"Thinornis rubricollis","ALA_Thinornis_rubricollis","Thinornis rubricollis",,,,"B",,"Hooded Plover",,,"same concept as T. cucullata",
"Thinornis sp.","ALA_Thinornis_sp","Thinornis sp.",,,,"B",,,,,"all SA Thinornis are the sensitive T.cucullata",
"Thysanotus tuberosus ssp.","ALA_Thysanotus_tuberosus_ssp","Thysanotus tuberosus ssp.",,,"Garden Trade -Other Ornamental Horticulture plants","P","S20193","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
